mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,search_term,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name,match_confidence
MFH0001,丁香,丁香,丁香,DING XIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DING XIANG,HERB001309,/Detail/?v=HERB001309&label=Herb,DING XIANG,丁香,Clove,Flos Caryophylli,exact_chinese
MFH0002,八角茴香,八角茴香,八角茴香,BA JIAO HUI XIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,BA JIAO HUI XIANG,HERB000137,/Detail/?v=HERB000137&label=Herb,BA JIAO HUI XIANG,八角茴香,Chinese Star Anise,Fructus Anisi Stellati,exact_chinese
MFH0003,刀豆,刀豆,刀豆,DAO DOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DAO DOU,HERB001215,/Detail/?v=HERB001215&label=Herb,DAO DOU,刀豆,Jack Bean,Semen Cavaliae,exact_chinese
MFH0004,小茴香,小茴香,小茴香,XIAO HUI XIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO HUI XIANG,HERB006121,/Detail/?v=HERB006121&label=Herb,XIAO HUI XIANG,小茴香,fennel fruit,fructus Foeniculi,exact_chinese
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006122,/Detail/?v=HERB006122&label=Herb,XIAO JI,小蓟,Field Thistle Herb,Herba Cirsii;Herba Cirsii segeti,exact_chinese
MFH0006,山药,山药,山药,SHAN YAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN YAO,HERB004938,/Detail/?v=HERB004938&label=Herb,SHAN YAO,山药,Common Yam Rhizome,Rhizoma Dioscoreae,exact_chinese
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB004945,/Detail/?v=HERB004945&label=Herb,SHAN ZHA,山楂,Chinese Hawthorn Equivalent plant: Crataegus pinna,Crataegus pinnatifida,exact_chinese
MFH0008,马齿苋,马齿苋,马齿苋,MA CHI XIAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MA CHI XIAN,HERB003641,/Detail/?v=HERB003641&label=Herb,MA CHI XIAN,马齿苋,all-grass of Purslane,Herba Portulacae,exact_chinese
MFH0009,乌梢蛇,乌梢蛇,乌梢蛇,WU SHAO SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,WU SHAO SHE,HERB005750,/Detail/?v=HERB005750&label=Herb,WU SHAO SHE,乌梢蛇,Black-tail Snake,Zaocys,exact_chinese
MFH0010,乌梅,乌梅,乌梅,WU MEI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,WU MEI,HERB005742,/Detail/?v=HERB005742&label=Herb,WU MEI,乌梅,Smoked Plum,Fructus Mume,exact_chinese
